"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Hengitettävät hiukkaset <10 µm [µg/m3]"
"Virolahti Harju","2024","4","2","19:00","1.5"
"Virolahti Harju","2024","4","2","20:00","1.1"
"Virolahti Harju","2024","4","2","21:00","0.8"
"Virolahti Harju","2024","4","2","22:00","0.4"
"Virolahti Harju","2024","4","2","23:00","0.3"
"Virolahti Harju","2024","4","3","00:00","0.5"
"Virolahti Harju","2024","4","3","01:00","0.7"
"Virolahti Harju","2024","4","3","02:00","0.8"
"Virolahti Harju","2024","4","3","03:00","1.6"
"Virolahti Harju","2024","4","3","04:00","2.9"
"Virolahti Harju","2024","4","3","05:00","1.7"
"Virolahti Harju","2024","4","3","06:00","1.6"
"Virolahti Harju","2024","4","3","07:00","1.9"
"Virolahti Harju","2024","4","3","08:00","1.6"
"Virolahti Harju","2024","4","3","09:00","1.9"
"Virolahti Harju","2024","4","3","10:00","1.8"
"Virolahti Harju","2024","4","3","11:00","2"
"Virolahti Harju","2024","4","3","12:00","2.6"
"Virolahti Harju","2024","4","3","13:00","2.4"
"Virolahti Harju","2024","4","3","14:00","1.8"
"Virolahti Harju","2024","4","3","15:00","2.1"
"Virolahti Harju","2024","4","3","16:00","2.1"
"Virolahti Harju","2024","4","3","17:00","2.4"
"Virolahti Harju","2024","4","3","18:00","2.3"
"Virolahti Harju","2024","4","3","19:00","2.3"
"Virolahti Harju","2024","4","3","20:00","2.8"
"Virolahti Harju","2024","4","3","21:00","2.7"
"Virolahti Harju","2024","4","3","22:00","2.8"
"Virolahti Harju","2024","4","3","23:00","2.5"
"Virolahti Harju","2024","4","4","00:00","2.3"
"Virolahti Harju","2024","4","4","01:00","2.3"
"Virolahti Harju","2024","4","4","02:00","1.9"
"Virolahti Harju","2024","4","4","03:00","2.5"
"Virolahti Harju","2024","4","4","04:00","2.4"
"Virolahti Harju","2024","4","4","05:00","3.2"
"Virolahti Harju","2024","4","4","06:00","2.6"
"Virolahti Harju","2024","4","4","07:00","2.8"
"Virolahti Harju","2024","4","4","08:00","2.2"
"Virolahti Harju","2024","4","4","09:00","2.1"
"Virolahti Harju","2024","4","4","10:00","2.2"
"Virolahti Harju","2024","4","4","11:00","2"
"Virolahti Harju","2024","4","4","12:00","2.4"
"Virolahti Harju","2024","4","4","13:00","6.8"
"Virolahti Harju","2024","4","4","14:00","3.3"
"Virolahti Harju","2024","4","4","15:00","4"
"Virolahti Harju","2024","4","4","16:00","3.4"
"Virolahti Harju","2024","4","4","17:00","2.9"
"Virolahti Harju","2024","4","4","18:00","2.8"
"Virolahti Harju","2024","4","4","19:00","3"
"Virolahti Harju","2024","4","4","20:00","3.7"
"Virolahti Harju","2024","4","4","21:00","5.4"
"Virolahti Harju","2024","4","4","22:00","4.5"
"Virolahti Harju","2024","4","4","23:00","3"
"Virolahti Harju","2024","4","5","00:00","3.4"
"Virolahti Harju","2024","4","5","01:00","3.8"
"Virolahti Harju","2024","4","5","02:00","4.2"
"Virolahti Harju","2024","4","5","03:00","4"
"Virolahti Harju","2024","4","5","04:00","4"
"Virolahti Harju","2024","4","5","05:00","3.2"
"Virolahti Harju","2024","4","5","06:00","3.7"
"Virolahti Harju","2024","4","5","07:00","4"
"Virolahti Harju","2024","4","5","08:00","4.5"
"Virolahti Harju","2024","4","5","09:00","4.4"
"Virolahti Harju","2024","4","5","10:00","5"
"Virolahti Harju","2024","4","5","11:00","5.9"
"Virolahti Harju","2024","4","5","12:00","6.8"
"Virolahti Harju","2024","4","5","13:00","8.2"
