"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Hengitettävät hiukkaset <10 µm [µg/m3]"
"Kaarina Kaarina","2024","3","15","14:00","3.4"
"Kaarina Kaarina","2024","3","15","15:00","9.4"
"Kaarina Kaarina","2024","3","15","16:00","13.2"
"Kaarina Kaarina","2024","3","15","17:00","13.9"
"Kaarina Kaarina","2024","3","15","18:00","10.7"
"Kaarina Kaarina","2024","3","15","19:00","11.5"
"Kaarina Kaarina","2024","3","15","20:00","10.5"
"Kaarina Kaarina","2024","3","15","21:00","19.8"
"Kaarina Kaarina","2024","3","15","22:00","17.2"
"Kaarina Kaarina","2024","3","15","23:00","26.2"
"Kaarina Kaarina","2024","3","16","00:00","28.7"
"Kaarina Kaarina","2024","3","16","01:00","24.8"
"Kaarina Kaarina","2024","3","16","02:00","29"
"Kaarina Kaarina","2024","3","16","03:00","29.2"
"Kaarina Kaarina","2024","3","16","04:00","24.6"
"Kaarina Kaarina","2024","3","16","05:00","28.8"
"Kaarina Kaarina","2024","3","16","06:00","30"
"Kaarina Kaarina","2024","3","16","07:00","30.2"
"Kaarina Kaarina","2024","3","16","08:00","33.5"
"Kaarina Kaarina","2024","3","16","09:00","29"
"Kaarina Kaarina","2024","3","16","10:00","24.6"
"Kaarina Kaarina","2024","3","16","11:00","30.7"
"Kaarina Kaarina","2024","3","16","12:00","32.1"
"Kaarina Kaarina","2024","3","16","13:00","23.4"
"Kaarina Kaarina","2024","3","16","14:00","16.5"
"Kaarina Kaarina","2024","3","16","15:00","22.4"
"Kaarina Kaarina","2024","3","16","16:00","30.7"
"Kaarina Kaarina","2024","3","16","17:00","24.4"
"Kaarina Kaarina","2024","3","16","18:00","31.8"
"Kaarina Kaarina","2024","3","16","19:00","23.2"
"Kaarina Kaarina","2024","3","16","20:00","18.7"
"Kaarina Kaarina","2024","3","16","21:00","20.3"
"Kaarina Kaarina","2024","3","16","22:00","15.4"
"Kaarina Kaarina","2024","3","16","23:00","10.7"
"Kaarina Kaarina","2024","3","17","00:00","7.5"
"Kaarina Kaarina","2024","3","17","01:00","5.3"
"Kaarina Kaarina","2024","3","17","02:00","3.7"
"Kaarina Kaarina","2024","3","17","03:00","2.6"
"Kaarina Kaarina","2024","3","17","04:00","1.8"
"Kaarina Kaarina","2024","3","17","05:00","1.3"
"Kaarina Kaarina","2024","3","17","06:00","0.9"
"Kaarina Kaarina","2024","3","17","07:00","0.6"
"Kaarina Kaarina","2024","3","17","08:00","0.4"
"Kaarina Kaarina","2024","3","17","09:00","0.3"
"Kaarina Kaarina","2024","3","17","10:00","0.2"
"Kaarina Kaarina","2024","3","17","11:00","0.1"
"Kaarina Kaarina","2024","3","17","12:00","0.1"
"Kaarina Kaarina","2024","3","17","13:00","1.1"
"Kaarina Kaarina","2024","3","17","14:00","0.8"
"Kaarina Kaarina","2024","3","17","15:00","0.6"
"Kaarina Kaarina","2024","3","17","16:00","0.4"
"Kaarina Kaarina","2024","3","17","17:00","0.3"
"Kaarina Kaarina","2024","3","17","18:00","0.2"
"Kaarina Kaarina","2024","3","17","19:00","0.1"
"Kaarina Kaarina","2024","3","17","20:00","0.1"
"Kaarina Kaarina","2024","3","17","21:00","0.1"
"Kaarina Kaarina","2024","3","17","22:00","0"
"Kaarina Kaarina","2024","3","17","23:00","0"
"Kaarina Kaarina","2024","3","18","00:00","0"
"Kaarina Kaarina","2024","3","18","01:00","0"
"Kaarina Kaarina","2024","3","18","02:00","0"
"Kaarina Kaarina","2024","3","18","03:00","0"
"Kaarina Kaarina","2024","3","18","04:00","0"
"Kaarina Kaarina","2024","3","18","05:00","0"
"Kaarina Kaarina","2024","3","18","06:00","0"
"Kaarina Kaarina","2024","3","18","07:00","0"
"Kaarina Kaarina","2024","3","18","08:00","0"
"Kaarina Kaarina","2024","3","18","09:00","0"
"Kaarina Kaarina","2024","3","18","10:00","0"
"Kaarina Kaarina","2024","3","18","11:00","0.6"
"Kaarina Kaarina","2024","3","18","12:00","0.8"
"Kaarina Kaarina","2024","3","18","13:00","1.7"
"Kaarina Kaarina","2024","3","18","14:00","7"
"Kaarina Kaarina","2024","3","18","15:00","5.7"
"Kaarina Kaarina","2024","3","18","16:00","5.1"
"Kaarina Kaarina","2024","3","18","17:00","3.9"
"Kaarina Kaarina","2024","3","18","18:00","2.7"
"Kaarina Kaarina","2024","3","18","19:00","2"
"Kaarina Kaarina","2024","3","18","20:00","2.5"
"Kaarina Kaarina","2024","3","18","21:00","9.6"
"Kaarina Kaarina","2024","3","18","22:00","6.9"
"Kaarina Kaarina","2024","3","18","23:00","9.1"
"Kaarina Kaarina","2024","3","19","00:00","7.1"
"Kaarina Kaarina","2024","3","19","01:00","11.1"
"Kaarina Kaarina","2024","3","19","02:00","8.4"
"Kaarina Kaarina","2024","3","19","03:00","6.8"
"Kaarina Kaarina","2024","3","19","04:00","6.4"
"Kaarina Kaarina","2024","3","19","05:00","8.1"
"Kaarina Kaarina","2024","3","19","06:00","5.9"
"Kaarina Kaarina","2024","3","19","07:00","6.8"
"Kaarina Kaarina","2024","3","19","08:00","15"
"Kaarina Kaarina","2024","3","19","09:00","10.8"
"Kaarina Kaarina","2024","3","19","10:00","13.6"
"Kaarina Kaarina","2024","3","19","11:00","9.6"
"Kaarina Kaarina","2024","3","19","12:00","7.7"
"Kaarina Kaarina","2024","3","19","13:00","8.1"
"Kaarina Kaarina","2024","3","19","14:00","7"
"Kaarina Kaarina","2024","3","19","15:00","9.8"
"Kaarina Kaarina","2024","3","19","16:00","15.6"
"Kaarina Kaarina","2024","3","19","17:00","12.1"
"Kaarina Kaarina","2024","3","19","18:00","9.1"
"Kaarina Kaarina","2024","3","19","19:00","8"
"Kaarina Kaarina","2024","3","19","20:00","7.6"
"Kaarina Kaarina","2024","3","19","21:00","6.1"
"Kaarina Kaarina","2024","3","19","22:00","8.5"
"Kaarina Kaarina","2024","3","19","23:00","8.6"
"Kaarina Kaarina","2024","3","20","00:00","11.1"
"Kaarina Kaarina","2024","3","20","01:00","8.5"
"Kaarina Kaarina","2024","3","20","02:00","6.5"
"Kaarina Kaarina","2024","3","20","03:00","5"
"Kaarina Kaarina","2024","3","20","04:00","6.2"
"Kaarina Kaarina","2024","3","20","05:00","4.7"
"Kaarina Kaarina","2024","3","20","06:00","3.6"
"Kaarina Kaarina","2024","3","20","07:00","3.8"
"Kaarina Kaarina","2024","3","20","08:00","3.5"
"Kaarina Kaarina","2024","3","20","09:00","3.1"
"Kaarina Kaarina","2024","3","20","10:00","2.7"
"Kaarina Kaarina","2024","3","20","11:00","1.9"
"Kaarina Kaarina","2024","3","20","12:00","1.4"
"Kaarina Kaarina","2024","3","20","13:00","1.2"
"Kaarina Kaarina","2024","3","20","14:00","1"
"Kaarina Kaarina","2024","3","20","15:00","2"
"Kaarina Kaarina","2024","3","20","16:00","1.4"
"Kaarina Kaarina","2024","3","20","17:00","2.1"
"Kaarina Kaarina","2024","3","20","18:00","1.5"
"Kaarina Kaarina","2024","3","20","19:00","2.3"
"Kaarina Kaarina","2024","3","20","20:00","2.1"
"Kaarina Kaarina","2024","3","20","21:00","2.2"
"Kaarina Kaarina","2024","3","20","22:00","2.6"
"Kaarina Kaarina","2024","3","20","23:00","2.2"
"Kaarina Kaarina","2024","3","21","00:00","2"
"Kaarina Kaarina","2024","3","21","01:00","6.5"
"Kaarina Kaarina","2024","3","21","02:00","9.5"
"Kaarina Kaarina","2024","3","21","03:00","7.7"
"Kaarina Kaarina","2024","3","21","04:00","5.8"
"Kaarina Kaarina","2024","3","21","05:00","11.5"
"Kaarina Kaarina","2024","3","21","06:00","8.7"
"Kaarina Kaarina","2024","3","21","07:00","-"
"Kaarina Kaarina","2024","3","21","08:00","-"
"Kaarina Kaarina","2024","3","21","09:00","-"
"Kaarina Kaarina","2024","3","21","10:00","-"
